seed_index,label,t,variant,terminal_rms,optimized_grid_terminal_rms,path_mean_squared_rms,suffix_one_step_rms,suffix_quarter_rms,null_semigroup_error,negative_rms,squared_margin,state_shift_rms,null_terminal_change_rms,conditional_terminal_change_rms,null_target_probability,null_target_success,conditional_target_probability,conditional_target_success,rival_target_probability
0,24,0.125,unchanged,0.2841183841228485,0.2689061462879181,0.02422029711306095,0.27557119727134705,0.09041842073202133,0.0,0.28121814131736755,-0.0016396120190620422,0.0,0.0,0.0,0.0026908305007964373,False,0.9199532270431519,True,0.004443466663360596
1,63,0.125,unchanged,0.2096015363931656,0.20356415212154388,0.011681901291012764,0.20521031320095062,0.07751554995775223,0.0,0.38615208864212036,0.10518062859773636,0.0,0.0,0.0,5.581803998211399e-05,False,0.0012598630273714662,False,0.0016154362820088863
2,87,0.125,unchanged,0.15760748088359833,0.1551559567451477,0.006698060780763626,0.15321311354637146,0.09593003243207932,0.0,0.1876094490289688,0.010357188060879707,0.0,0.0,0.0,0.00045095529640093446,False,0.008825615979731083,False,0.00012945570051670074
3,52,0.125,unchanged,0.48215869069099426,0.47529903054237366,0.06523120403289795,0.4731879234313965,0.22183135151863098,0.0,0.4590287506580353,-0.021769613027572632,0.0,0.0,0.0,4.808169418168973e-09,False,0.0031543506775051355,False,0.00011424506374169141
4,84,0.125,unchanged,0.29987502098083496,0.2928915023803711,0.023149067535996437,0.2925744354724884,0.12645120918750763,0.0,0.22304464876651764,-0.040176112204790115,0.0,0.0,0.0,9.489488729741424e-05,False,0.021727411076426506,False,0.0008820295915938914
5,56,0.125,unchanged,0.2951726019382477,0.2847786247730255,0.02448761649429798,0.2831155061721802,0.12803907692432404,0.0,0.3503369688987732,0.03560912609100342,0.0,0.0,0.0,2.0760133338626474e-05,False,0.001006921986117959,False,0.0008865274139679968
6,91,0.125,unchanged,0.3902375102043152,0.3864360451698303,0.041195567697286606,0.37379491329193115,0.1508127897977829,0.0,0.4239150881767273,0.02741868793964386,0.0,0.0,0.0,5.424253686214797e-05,False,0.997214138507843,True,0.002023259876295924
7,58,0.125,unchanged,0.3547258973121643,0.3461932837963104,0.035446472465991974,0.341063916683197,0.1525062471628189,0.0,0.3060097098350525,-0.03218851238489151,0.0,0.0,0.0,9.749615855980664e-05,False,0.07006541639566422,False,0.006013812497258186
0,24,0.125,root1,0.24979063868522644,0.20198646187782288,0.01817340776324272,0.24351875483989716,0.09718922525644302,0.0,0.2594884932041168,0.004938915371894836,0.016877805814146996,0.08325980603694916,0.025448482483625412,0.0026791379787027836,False,0.8988626003265381,True,0.00403112918138504
1,63,0.125,root1,0.20737208425998688,0.20142744481563568,0.011411434039473534,0.20314957201480865,0.07667556405067444,0.0,0.3850589692592621,0.1052672266960144,0.008091038092970848,0.010862850584089756,0.012361002154648304,4.874520163866691e-05,False,0.0011462635593488812,False,0.0015392968198284507
2,87,0.125,root1,0.14925020933151245,0.1472279131412506,0.006013902835547924,0.14486533403396606,0.09264115244150162,0.0,0.1801169216632843,0.010166479274630547,0.012066452763974667,0.03558368980884552,0.026973217725753784,0.0005711420089937747,False,0.00885121151804924,False,0.00014004504191689193
3,52,0.125,root1,0.4617437720298767,0.45709607005119324,0.058839160948991776,0.4543113112449646,0.23088820278644562,0.0,0.443398654460907,-0.016604945063591003,0.020597556605935097,0.09044146537780762,0.02734915353357792,6.4741820793301486e-09,False,0.0033137702848762274,False,0.00013756216503679752
4,84,0.125,root1,0.26936233043670654,0.25923994183540344,0.018999282270669937,0.2637983560562134,0.12896373867988586,0.0,0.16194692254066467,-0.04632925987243652,0.014193369075655937,0.08607468754053116,0.03897356241941452,0.00022803664614912122,False,0.10316374897956848,False,0.00022172949684318155
5,56,0.125,root1,0.2660619020462036,0.25348061323165894,0.019444704055786133,0.2559972405433655,0.13438817858695984,0.0,0.3162780702114105,0.029242880642414093,0.011608594097197056,0.10777536034584045,0.06740596890449524,3.984133218182251e-05,False,0.0009413033840246499,False,0.0007875650189816952
6,91,0.125,root1,0.38616743683815,0.38240116834640503,0.040256135165691376,0.36876314878463745,0.15247419476509094,0.0,0.4305913746356964,0.036283642053604126,0.004594156052917242,0.0321916826069355,0.02543211355805397,2.612983553262893e-05,False,0.9973486661911011,True,0.0015048948116600513
7,58,0.125,root1,0.3183864951133728,0.31173041462898254,0.029178237542510033,0.3057854473590851,0.14110702276229858,0.0,0.2755340337753296,-0.02545095980167389,0.01787310466170311,0.12111526727676392,0.054466210305690765,1.3484655028150883e-05,False,0.1749884933233261,False,0.014394799247384071
0,24,0.125,root4,0.15939871966838837,0.15821874141693115,0.006896115839481354,0.1562768816947937,0.10898953676223755,0.0,0.19970127940177917,0.01447264850139618,0.03371468558907509,0.27394402027130127,0.11086318641901016,0.005944631528109312,False,0.8000161051750183,True,0.013664744794368744
1,63,0.125,root4,0.20156309008598328,0.19570156931877136,0.010729850269854069,0.19772738218307495,0.07584251463413239,0.0,0.37888678908348083,0.10292751342058182,0.03195185214281082,0.04130643606185913,0.0458635576069355,4.1501356463413686e-05,False,0.0011762833455577493,False,0.0016877108719199896
2,87,0.125,root4,0.1409439742565155,0.13928067684173584,0.005410077515989542,0.13597381114959717,0.0901428759098053,0.0,0.17315781116485596,0.010118423029780388,0.035057734698057175,0.09567315131425858,0.07402495294809341,0.00011227976210648194,False,0.009775437414646149,False,0.00022988305136095732
3,52,0.125,root4,0.33902060985565186,0.3350850045681,0.03117475099861622,0.3353264033794403,0.19592531025409698,0.0,0.3669900596141815,0.019746728241443634,0.05293163284659386,0.3704822063446045,0.09266377985477448,1.0366603220290926e-07,False,0.0009353625355288386,False,0.0004026074893772602
4,84,0.125,root4,0.20826038718223572,0.20430579781532288,0.011274946853518486,0.20393426716327667,0.12348831444978714,0.0,0.2325965166091919,0.010728750377893448,0.0533159077167511,0.23515136539936066,0.11834299564361572,5.494410652318038e-05,False,0.3791831135749817,True,0.002559397602453828
5,56,0.125,root4,0.20296965539455414,0.19676515460014343,0.011259490624070168,0.19671279191970825,0.12348534166812897,0.0,0.28637251257896423,0.04081253707408905,0.052483391016721725,0.2627716660499573,0.1338692605495453,3.9036720409058034e-05,False,0.0008520449628122151,False,0.00040721087134443223
6,91,0.125,root4,0.34771305322647095,0.34619346261024475,0.0326412096619606,0.31215816736221313,0.1370910108089447,0.0,0.4527207911014557,0.08405175060033798,0.025706112384796143,0.15722043812274933,0.17309615015983582,5.939441507507581e-06,False,0.9721577167510986,True,0.0007065082318149507
7,58,0.125,root4,0.24683423340320587,0.2436823695898056,0.01689249277114868,0.23368993401527405,0.14350642263889313,0.0,0.1739235371351242,-0.030677741393446922,0.032213322818279266,0.3637861907482147,0.1863815039396286,0.000402239355025813,False,0.3926056921482086,True,0.034633345901966095
0,24,0.125,tube1,0.24775850772857666,0.2003931850194931,0.01785290241241455,0.24145860970020294,0.09795070439577103,0.0,0.25779154896736145,0.005072202533483505,0.016877807676792145,0.087799072265625,0.026003703474998474,0.002726499456912279,False,0.8954576849937439,True,0.0040570818819105625
1,63,0.125,tube1,0.20737896859645844,0.20143529772758484,0.011412308551371098,0.20315493643283844,0.07668109238147736,0.0,0.3850795030593872,0.10528019070625305,0.008091038092970848,0.010819494724273682,0.012319274246692657,4.78990696137771e-05,False,0.0011305483058094978,False,0.0015191149432212114
2,87,0.125,tube1,0.14823998510837555,0.14630244672298431,0.005933898966759443,0.14380933344364166,0.09203708916902542,0.0,0.17922033369541168,0.010144837200641632,0.012066450901329517,0.04078640788793564,0.03018626570701599,0.0005524219013750553,False,0.009338526986539364,False,0.00014227317296899855
3,52,0.125,tube1,0.47336119413375854,0.46731311082839966,0.06244296580553055,0.46518757939338684,0.2255065143108368,0.0,0.45090970396995544,-0.02075125277042389,0.014894646592438221,0.05034971237182617,0.017018908634781837,2.7318973749856923e-09,False,0.0036393445916473866,False,0.0001450645359000191
4,84,0.125,tube1,0.2997981905937195,0.29322898387908936,0.023205583915114403,0.29156777262687683,0.1133037731051445,0.0,0.22899824380874634,-0.037438757717609406,0.002438262104988098,0.01236133836209774,0.011070569977164268,8.380837243748829e-05,False,0.016245700418949127,False,0.0011126899626106024
5,56,0.125,tube1,0.28534960746765137,0.2739064693450928,0.022610818967223167,0.274557501077652,0.1341751515865326,0.0,0.3371398150920868,0.032238855957984924,0.0026880435179919004,0.04421030357480049,0.02811536379158497,2.985872924909927e-05,False,0.0009004946332424879,False,0.0007912289584055543
6,91,0.125,tube1,0.3897710144519806,0.3859386146068573,0.04111072048544884,0.37329936027526855,0.15026822686195374,0.0,0.4250498414039612,0.028745919466018677,0.01219489611685276,0.01404695026576519,0.014430290088057518,4.1257906559621915e-05,False,0.9973573088645935,True,0.00195865030400455
7,58,0.125,tube1,0.32508936524391174,0.3178946375846863,0.030445095151662827,0.3120674788951874,0.13807402551174164,0.0,0.2808209955692291,-0.026822663843631744,0.01194706093519926,0.09705912321805954,0.04271475225687027,2.9277667636051774e-05,False,0.1431381106376648,False,0.013016032986342907
0,24,0.125,path1,0.24432849884033203,0.19823770225048065,0.017309067770838737,0.23796650767326355,0.10343678295612335,0.0,0.254817932844162,0.0052357688546180725,0.016877807676792145,0.09570658951997757,0.02688465639948845,0.0026653497479856014,False,0.895660936832428,True,0.004161809105426073
1,63,0.125,path1,0.20738062262535095,0.201437309384346,0.01141251903027296,0.2031562626361847,0.07668253779411316,0.0,0.3850845992565155,0.10528342425823212,0.008091038092970848,0.01080886647105217,0.012309015728533268,4.750038351630792e-05,False,0.001123863272368908,False,0.0015190087724477053
2,87,0.125,path1,0.14889702200889587,0.146902933716774,0.005985942669212818,0.14449208974838257,0.09242831915616989,0.0,0.17979609966278076,0.010156314820051193,0.012066450901329517,0.03736186772584915,0.028063494712114334,0.0005870111635886133,False,0.008451282978057861,False,0.00013970471627544612
3,52,0.125,path1,0.45671430230140686,0.4527682065963745,0.0573493167757988,0.4495142102241516,0.2314680814743042,0.0,0.44021621346473694,-0.014797642827033997,0.025020474568009377,0.10350313037633896,0.032158177345991135,6.058580748202758e-09,False,0.0031199161894619465,False,0.0001394126156810671
4,84,0.125,path1,0.26699939370155334,0.2573458254337311,0.0186809953302145,0.26149821281433105,0.12738704681396484,0.0,0.16383159160614014,-0.0444478839635849,0.013215920887887478,0.09181558340787888,0.04039759933948517,0.00024388039309997112,False,0.10881291329860687,False,0.00025679636746644974
5,56,0.125,path1,0.2612922191619873,0.24815648794174194,0.01869274117052555,0.2515532970428467,0.13398799300193787,0.0,0.31179359555244446,0.028941616415977478,0.01113729178905487,0.12286899983882904,0.07432374358177185,4.8811445594765246e-05,False,0.0010209560859948397,False,0.0006364449509419501
6,91,0.125,path1,0.3853948712348938,0.3816417455673218,0.0400746688246727,0.36780256032943726,0.15266339480876923,0.0,0.43154025077819824,0.037697792053222656,0.003288168227300048,0.03647125884890556,0.029312076047062874,2.3988575776456855e-05,False,0.9973642230033875,True,0.0014628047356382012
