objective,iteration,variant,k,shift_rms,state_rms,agreement_rms,write_rms,local_gap_rms,agreement_ratio,write_ratio,local_gap_ratio,conditional_drift_rms,guided_drift_rms,u_resnet_p,u_resnet_top1,u_resnet_prediction,u_convnext_p,u_convnext_top1,u_convnext_prediction,c_resnet_p,c_resnet_top1,c_resnet_prediction,c_convnext_p,c_convnext_top1,c_convnext_prediction,g_resnet_p,g_resnet_top1,g_resnet_prediction,g_convnext_p,g_convnext_top1,g_convnext_prediction,initial_agreement_rms,initial_local_gap_rms,initial_state_rms,conditional_drift_over_initial_gap,guided_drift_over_initial_gap,shift_over_initial_state_rms,reference_radius_rms,shift_over_reference_radius,coarse_relative_mse,coarse_objective_rms_ratio,fine_objective_rms_ratio,u_resnet_p_before,u_resnet_top1_before,u_convnext_p_before,u_convnext_top1_before,c_resnet_p_before,c_resnet_top1_before,c_convnext_p_before,c_convnext_top1_before,g_resnet_p_before,g_resnet_top1_before,g_convnext_p_before,g_convnext_top1_before,delta_u_resnet_p,delta_u_resnet_top1,delta_u_convnext_p,delta_u_convnext_top1,delta_c_resnet_p,delta_c_resnet_top1,delta_c_convnext_p,delta_c_convnext_top1,delta_g_resnet_p,delta_g_resnet_top1,delta_g_convnext_p,delta_g_convnext_top1,n
agreement,0,optimized,24.0,0.0,0.7468099308510622,0.11646235466469079,0.11646235466469079,0.10062087901557486,1.0,1.0,1.0,0.0,0.0,0.3340445868757001,0.3958333333333333,436.5833333333333,0.2903235712622821,0.4375,434.5833333333333,0.5578048013803899,0.7083333333333334,454.1041666666667,0.4649281016975995,0.6666666666666666,466.2708333333333,0.7508670202869325,0.8125,432.9375,0.6159846914330652,0.8125,519.4375,0.11646235466469079,0.10062087901557486,0.7468099308510622,0.0,0.0,0.0,0.007861006173091786,0.0,1.0,1.0,1.0,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
agreement,1,optimized,24.0,0.0009772207996926834,0.7468333455423514,0.11289405362913385,0.11488113113834213,0.10000172560103238,0.9623793413241705,0.9913609984020392,0.9934912150104841,0.008269177145545351,0.007692074866099574,0.33596894598029053,0.4166666666666667,442.7916666666667,0.29106550409589244,0.4375,435.9583333333333,0.5568262133861026,0.7083333333333334,462.8958333333333,0.4609875743647838,0.6666666666666666,471.4583333333333,0.7470098336246641,0.8125,432.9375,0.6173969344308716,0.875,511.5833333333333,0.11646235466469079,0.10062087901557486,0.7468099308510622,0.12364274494090387,0.11754345096633446,0.0013595780633711165,0.007861006173091786,0.14835304674255265,0.9265243063370386,0.9619032647117245,0.9623793413241705,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.00192435910459036,0.020833333333333332,0.0007419328336103111,0.0,-0.0009785879942872573,0.0,-0.003940527332815691,0.0,-0.003857186662268456,0.0,0.001412242997806364,0.0625,48
agreement,4,optimized,24.0,0.021809616261937965,0.747291024774313,0.07954300491837785,0.13098588290934762,0.08916564588434994,0.6887581950674454,1.6424904403587182,0.884593932578961,0.09659184043994173,0.12120856270970155,0.37695065820616164,0.4583333333333333,410.7083333333333,0.305307150412015,0.4583333333333333,451.9166666666667,0.5258629627037124,0.6666666666666666,441.3541666666667,0.4513447950669918,0.6666666666666666,459.0625,0.6833515611244442,0.8125,425.9791666666667,0.5711551824109241,0.8125,482.6666666666667,0.11646235466469079,0.10062087901557486,0.7468099308510622,1.4141215959730673,1.604927500999931,0.030602250414126408,0.007861006173091786,3.2886176970418166,0.48693240713328123,0.688545676843328,0.6887581950674454,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.0429060713304615,0.0625,0.014983579149732881,0.020833333333333332,-0.03194183867667751,-0.041666666666666664,-0.013583306630607694,0.0,-0.0675154591624884,0.0,-0.04482950902214119,0.0,48
agreement,16,optimized,24.0,0.13269646520105502,0.7519052314261595,0.029533622194624815,0.27016394088665646,0.061548570985905826,0.29484329698607326,4.831792313605547,0.6142196009556452,0.2662944033121069,0.3025951149562995,0.36244970916693475,0.4375,433.5833333333333,0.3574985316933332,0.5208333333333334,421.8333333333333,0.40282888229049263,0.4791666666666667,439.8958333333333,0.38678849539852916,0.5416666666666666,417.875,0.44600948605932444,0.5625,439.5416666666667,0.4480771595008264,0.6458333333333334,429.7916666666667,0.11646235466469079,0.10062087901557486,0.7468099308510622,4.807477194724149,5.035159189777533,0.18744964429411903,0.007861006173091786,19.58424187236353,0.09268328025549029,0.295689748901345,0.29484329698607326,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.028405122291234635,0.041666666666666664,0.06717496043105105,0.08333333333333333,-0.15497591908989725,-0.22916666666666666,-0.0781396062990704,-0.125,-0.3048575342276081,-0.25,-0.16790753193223887,-0.16666666666666666,48
agreement,32,optimized,24.0,0.19995641390172145,0.7474792276819547,0.0177493608983544,0.3236227740223209,0.053478578416009746,0.17738188694541654,6.1048850218455,0.5353090601662794,0.32196672074496746,0.3559385919943452,0.39008354273951085,0.4583333333333333,417.375,0.3516642482481984,0.5625,439.7291666666667,0.40637326477951774,0.5,441.8125,0.3673538379195331,0.5833333333333334,425.6875,0.4348338003174727,0.5833333333333334,443.0208333333333,0.39573865912037337,0.6041666666666666,450.0625,0.11646235466469079,0.10062087901557486,0.7468099308510622,6.09470612395836,6.298449795117446,0.2818733285759923,0.007861006173091786,29.226793667098352,0.033768376985487215,0.17794522944187743,0.17738188694541654,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.056038955863810726,0.0625,0.06134067698591631,0.125,-0.15143153660087214,-0.20833333333333334,-0.09757426377806648,-0.08333333333333333,-0.3160332199694598,-0.22916666666666666,-0.22024603231269188,-0.20833333333333334,48
agreement,64,cfg_equal,24.0,0.2650411049835384,0.8039424059291681,0.10884762729983777,0.5866409161438545,0.12832424657729766,1.0141950311760108,10.0639523640275,1.3219632878899574,0.5697979920854171,0.5218834287176529,0.4179381945429365,0.5625,472.9583333333333,0.37479756149878085,0.5416666666666666,514.7708333333334,0.5803099882274788,0.6666666666666666,449.5625,0.5176795826361437,0.7916666666666666,418.625,0.6556201301379284,0.75,448.9583333333333,0.5927536466867119,0.8125,407.5625,0.11646235466469079,0.10062087901557486,0.7468099308510622,9.951639344525718,9.418501481297088,0.37101564065822235,0.007861006173091786,38.68636529761871,,,1.0141950311760108,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.08389360766723637,0.16666666666666666,0.08447399023649875,0.10416666666666667,0.022505186847088982,-0.041666666666666664,0.05275148093854417,0.125,-0.09524689014900407,-0.0625,-0.02323104474635329,0.0,48
agreement,64,optimized,24.0,0.2650411057596405,0.7418629291156927,0.01087038097466575,0.3681678269058466,0.04814220906700939,0.10894050464654963,7.093662805855274,0.483866607149442,0.3674641378844778,0.3978828551868598,0.387976717694927,0.4791666666666667,423.5416666666667,0.36018651530381857,0.5416666666666666,455.8958333333333,0.4007961650717178,0.5,420.5833333333333,0.3666944990518459,0.5416666666666666,462.75,0.4021860271378988,0.5,412.4166666666667,0.3740647531913055,0.5625,449.75,0.11646235466469079,0.10062087901557486,0.7468099308510622,7.088936726288324,7.267082816559257,0.3710156417315334,0.007861006173091786,38.686365417654244,0.012295281361730304,0.10782168102103092,0.10894050464654963,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.053932130819226876,0.08333333333333333,0.06986294404153644,0.10416666666666667,-0.1570086363086721,-0.20833333333333334,-0.0982336026457536,-0.125,-0.3486809931490337,-0.3125,-0.24191993824175975,-0.25,48
agreement,64,radius4_projected,24.0,0.031444024411030114,0.7414809775849184,0.07159329549176618,0.12586938787717372,0.08775626604134838,0.7255120035260916,1.26731339097023,0.8936143306394418,0.09323762368876487,0.09946811874397099,0.35116039572404506,0.3958333333333333,408.3541666666667,0.3141551611529394,0.4375,463.3958333333333,0.4857920928236202,0.5833333333333334,428.8541666666667,0.4287852013151981,0.625,441.3541666666667,0.6900097217071561,0.7916666666666666,455.125,0.5880773201527821,0.8541666666666666,471.3541666666667,0.11646235466469079,0.10062087901557486,0.7468099308510622,0.9827593516308911,1.0324803115871848,0.04196729985459401,0.007861006173091786,3.99999996306836,,,0.7255120035260916,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.01711580884834496,0.0,0.023831589890657295,0.0,-0.07201270855676967,-0.125,-0.03614290038240142,-0.041666666666666664,-0.0608572985797764,-0.020833333333333332,-0.02790737128028316,0.041666666666666664,48
agreement,64,radius_projected,24.0,0.007861006238575404,0.7453406800826391,0.10305241803871468,0.11066439047378178,0.09743549946385126,0.9154642174641291,0.9797998989621798,0.972651332616806,0.026325537726127852,0.028166802735844005,0.33824839990427535,0.3958333333333333,430.1458333333333,0.2966944286981743,0.4583333333333333,452.4166666666667,0.5559308760933561,0.7083333333333334,436.7708333333333,0.4566625417510295,0.6666666666666666,480.0,0.737677302056909,0.8125,432.9375,0.61198682111232,0.8541666666666666,511.2708333333333,0.11646235466469079,0.10062087901557486,0.7468099308510622,0.2715179058038567,0.2742615796658963,0.010491825146509301,0.007861006173091786,1.0000000054469653,,,0.9154642174641291,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.004203813028575236,0.0,0.0063708574358922005,0.020833333333333332,-0.001873925287033747,0.0,-0.008265559946570042,0.0,-0.013189718230023573,0.0,-0.003997870320745278,0.041666666666666664,48
local,0,optimized,24.0,0.0,0.7468099308510622,0.11646235466469079,0.11646235466469079,0.10062087901557486,1.0,1.0,1.0,0.0,0.0,0.3340445868757001,0.3958333333333333,436.5833333333333,0.2903235712622821,0.4375,434.5833333333333,0.5578048013803899,0.7083333333333334,454.1041666666667,0.4649281016975995,0.6666666666666666,466.2708333333333,0.7508670202869325,0.8125,432.9375,0.6159846914330652,0.8125,519.4375,0.11646235466469079,0.10062087901557486,0.7468099308510622,0.0,0.0,0.0,0.007861006173091786,0.0,1.0,1.0,1.0,0.3340445868757001,0.3958333333333333,0.2903235712622821,0.4375,0.5578048013803899,0.7083333333333334,0.4649281016975995,0.6666666666666666,0.7508670202869325,0.8125,0.6159846914330652,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48
