paper,table,backbone,dataset,method,nfe_as_reported,guidance_as_reported,metric,value,higher_better,units,source_url
fsg,2,SDXL / DDIM,combined timing,CFG,50,see Appendix D.1,seconds,6.71,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG,50,see Appendix D.1,ImageReward,59.02,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG,50,see Appendix D.1,HPSv2,28.73,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG,50,see Appendix D.1,Aesthetic,6.07,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG,50,see Appendix D.1,CLIP,32.29,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG,50,see Appendix D.1,ImageReward,82.14,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG,50,see Appendix D.1,HPSv2,28.46,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG,50,see Appendix D.1,Aesthetic,6.73,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG,50,see Appendix D.1,CLIP,33.53,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,CFG++,50,see Appendix D.1,seconds,6.82,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++,50,see Appendix D.1,ImageReward,65.21,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++,50,see Appendix D.1,HPSv2,28.98,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++,50,see Appendix D.1,Aesthetic,6.08,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,CFG++,50,see Appendix D.1,CLIP,32.6,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++,50,see Appendix D.1,ImageReward,89.75,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++,50,see Appendix D.1,HPSv2,28.72,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++,50,see Appendix D.1,Aesthetic,6.67,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,CFG++,50,see Appendix D.1,CLIP,33.86,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Z-Sampling,50,see Appendix D.1,seconds,6.66,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,50,see Appendix D.1,ImageReward,72.75,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,50,see Appendix D.1,HPSv2,29.08,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,50,see Appendix D.1,Aesthetic,6.0,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Z-Sampling,50,see Appendix D.1,CLIP,32.59,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,50,see Appendix D.1,ImageReward,96.77,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,50,see Appendix D.1,HPSv2,28.68,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,50,see Appendix D.1,Aesthetic,6.59,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,Pick-a-Pic first 100 prompts,Z-Sampling,50,see Appendix D.1,CLIP,33.97,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,combined timing,Resampling,50,see Appendix D.1,seconds,6.48,False,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
fsg,2,SDXL / DDIM,DrawBench,Resampling,50,see Appendix D.1,ImageReward,59.99,True,original paper table; no cross-paper normalization,https://arxiv.org/pdf/2510.21512v1
